Boundary,Protocol,Timestamp,Frame_Bytes,TCP_Payload_Bytes
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2260156,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2292855,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2399793,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.244703,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2529914,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2577193,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.265294,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.268448,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2782981,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2820814,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2932909,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.2976406,65,11
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.3003283,153,99
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.324309,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.328835,65,11
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.3500855,125,71
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.3670435,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.3718765,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.3803358,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.384039,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.390627,66,12
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.3914962,60,0
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.3914967,150,96
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.391497,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.3923209,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.3936546,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.3936548,60,0
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.3946424,69,15
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.3946426,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.395633,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.3966453,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.3973064,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.3991113,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.4004197,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.4004202,65,11
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.4333217,128,74
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.4333231,60,0
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255654.451689,60,0
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.4720583,210,156
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.4720595,60,0
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255654.4781165,128,74
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.4853313,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.4901893,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.5171878,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.5204127,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.5303206,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.533755,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255654.5433173,66,12
