Boundary,Protocol,Frame_Bytes,TCP_Payload_Bytes,Overhead_Bytes,Overhead_Ratio
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,122,68,54,0.4426229508196721
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
